A,經典配餐,$55,中薯,N/A
B,清爽配餐,$55,四季沙拉(大),N/A
C,勁脆配餐,$68,麥脆雞腿,N/A
D,炫冰配餐,$85,冰炫風,小薯
E,豪吃配餐,$85,麥克雞塊 (6塊),小薯
