1,大麥克,$75
2,雙層牛肉吉事堡,$65
3,嫩煎鷄腿堡,$80
4,麥香鷄,$45
5,麥克鷄塊(6塊),$64
6,麥克鷄塊(10塊),$104
7,勁辣鷄腿堡,$75
8,麥脆鷄腿(2塊),$120
9,麥脆鷄翅(2塊),$98
10,麥香魚,$49
